dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
external_kodak24,kodak-extra,kodim21,DE_Cividis,deutan,9.62025,0.99381,0.70613,0.07648,20.24754
external_kodak24,kodak-extra,kodim22,M1_intensity_slicing,protan,45.18486,0.24049,0.13829,0.07792,3.77617
external_kodak24,kodak-extra,kodim22,M2_sin_three_phase,protan,34.07340,0.17013,0.17032,0.06406,19.88187
external_kodak24,kodak-extra,kodim22,M4_jet,protan,41.10370,0.66037,0.21382,0.08364,14.24804
external_kodak24,kodak-extra,kodim22,M5_hot,protan,31.03077,0.95536,0.31936,0.06421,8.36224
external_kodak24,kodak-extra,kodim22,M5b_turbo,protan,42.70837,0.63828,0.22953,0.05568,19.27016
external_kodak24,kodak-extra,kodim22,M6_viridis,protan,21.16527,0.88308,0.50154,0.07425,16.39434
external_kodak24,kodak-extra,kodim22,M6b_cividis,protan,9.09316,0.96369,0.83644,0.06624,17.72293
external_kodak24,kodak-extra,kodim22,DE_Cividis,protan,10.06504,0.99299,0.67555,0.07188,20.67196
external_kodak24,kodak-extra,kodim22,M1_intensity_slicing,deutan,45.18486,0.24049,0.13829,0.07482,3.77617
external_kodak24,kodak-extra,kodim22,M2_sin_three_phase,deutan,34.07340,0.17013,0.17032,0.08088,19.88187
external_kodak24,kodak-extra,kodim22,M4_jet,deutan,41.10370,0.66037,0.21382,0.07777,14.24804
external_kodak24,kodak-extra,kodim22,M5_hot,deutan,31.03077,0.95536,0.31936,0.06234,8.36224
external_kodak24,kodak-extra,kodim22,M5b_turbo,deutan,42.70837,0.63828,0.22953,0.05929,19.27016
external_kodak24,kodak-extra,kodim22,M6_viridis,deutan,21.16527,0.88308,0.50154,0.06800,16.39434
external_kodak24,kodak-extra,kodim22,M6b_cividis,deutan,9.09316,0.96369,0.83644,0.06625,17.72293
external_kodak24,kodak-extra,kodim22,DE_Cividis,deutan,10.06504,0.99299,0.67555,0.07555,20.67196
external_kodak24,kodak-extra,kodim23,M1_intensity_slicing,protan,45.69093,0.39339,0.23537,0.05038,3.92634
external_kodak24,kodak-extra,kodim23,M2_sin_three_phase,protan,33.68378,0.51078,0.29733,0.04556,20.25667
external_kodak24,kodak-extra,kodim23,M4_jet,protan,41.04293,0.61074,0.27623,0.05767,13.74479
external_kodak24,kodak-extra,kodim23,M5_hot,protan,31.01185,0.96278,0.30901,0.04001,8.72325
external_kodak24,kodak-extra,kodim23,M5b_turbo,protan,43.92529,0.58373,0.32278,0.04357,19.86870
external_kodak24,kodak-extra,kodim23,M6_viridis,protan,21.15155,0.93260,0.64834,0.04294,16.98544
external_kodak24,kodak-extra,kodim23,M6b_cividis,protan,10.35771,0.97358,0.87185,0.03875,17.95378
external_kodak24,kodak-extra,kodim23,DE_Cividis,protan,10.47069,0.99603,0.82141,0.04105,20.61961
external_kodak24,kodak-extra,kodim23,M1_intensity_slicing,deutan,45.69093,0.39339,0.23537,0.04868,3.92634
external_kodak24,kodak-extra,kodim23,M2_sin_three_phase,deutan,33.68378,0.51078,0.29733,0.05085,20.25667
external_kodak24,kodak-extra,kodim23,M4_jet,deutan,41.04293,0.61074,0.27623,0.05301,13.74479
external_kodak24,kodak-extra,kodim23,M5_hot,deutan,31.01185,0.96278,0.30901,0.04126,8.72325
external_kodak24,kodak-extra,kodim23,M5b_turbo,deutan,43.92529,0.58373,0.32278,0.04434,19.86870
external_kodak24,kodak-extra,kodim23,M6_viridis,deutan,21.15155,0.93260,0.64834,0.03936,16.98544
external_kodak24,kodak-extra,kodim23,M6b_cividis,deutan,10.35771,0.97358,0.87185,0.03880,17.95378
external_kodak24,kodak-extra,kodim23,DE_Cividis,deutan,10.47069,0.99603,0.82141,0.04255,20.61961
external_kodak24,kodak-extra,kodim24,M1_intensity_slicing,protan,46.56682,0.21740,0.08857,0.11090,4.09855
external_kodak24,kodak-extra,kodim24,M2_sin_three_phase,protan,35.31936,0.04381,0.13596,0.08482,19.99620
external_kodak24,kodak-extra,kodim24,M4_jet,protan,42.37533,0.59639,0.15593,0.12865,13.62741
external_kodak24,kodak-extra,kodim24,M5_hot,protan,29.19235,0.95658,0.30503,0.08347,8.64527
external_kodak24,kodak-extra,kodim24,M5b_turbo,protan,45.53675,0.56239,0.14011,0.08616,19.48212
external_kodak24,kodak-extra,kodim24,M6_viridis,protan,21.51697,0.86593,0.44539,0.09344,16.69363
external_kodak24,kodak-extra,kodim24,M6b_cividis,protan,10.72309,0.95516,0.78861,0.08595,17.71754
external_kodak24,kodak-extra,kodim24,DE_Cividis,protan,12.17551,0.99157,0.61451,0.09210,20.58797
external_kodak24,kodak-extra,kodim24,M1_intensity_slicing,deutan,46.56682,0.21740,0.08857,0.10967,4.09855
external_kodak24,kodak-extra,kodim24,M2_sin_three_phase,deutan,35.31936,0.04381,0.13596,0.10044,19.99620
external_kodak24,kodak-extra,kodim24,M4_jet,deutan,42.37533,0.59639,0.15593,0.12338,13.62741
external_kodak24,kodak-extra,kodim24,M5_hot,deutan,29.19235,0.95658,0.30503,0.08492,8.64527
external_kodak24,kodak-extra,kodim24,M5b_turbo,deutan,45.53675,0.56239,0.14011,0.09040,19.48212
external_kodak24,kodak-extra,kodim24,M6_viridis,deutan,21.51697,0.86593,0.44539,0.08687,16.69363
external_kodak24,kodak-extra,kodim24,M6b_cividis,deutan,10.72309,0.95516,0.78861,0.08573,17.71754
external_kodak24,kodak-extra,kodim24,DE_Cividis,deutan,12.17551,0.99157,0.61451,0.09653,20.58797
