dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
primary27,ishihara,plate12_synthetic,M5b_turbo,deutan,37.71443,-0.53117,-0.06629,0.26893,12.63514
primary27,ishihara,plate12_synthetic,M6_viridis,deutan,23.86980,0.92574,0.32760,0.20979,11.03318
primary27,ishihara,plate12_synthetic,M6b_cividis,deutan,11.11239,0.95483,0.63052,0.21161,11.89596
primary27,ishihara,plate12_synthetic,DE_Cividis,deutan,15.47125,0.99155,0.40787,0.21786,18.85330
primary27,ishihara,plate15_synthetic,M1_intensity_slicing,protan,40.83443,-0.44270,-0.05353,0.24626,2.92913
primary27,ishihara,plate15_synthetic,M2_sin_three_phase,protan,30.89423,0.83977,-0.09371,0.26612,13.16751
primary27,ishihara,plate15_synthetic,M4_jet,protan,37.07821,-0.42541,-0.07623,0.25484,10.43648
primary27,ishihara,plate15_synthetic,M5_hot,protan,31.32563,0.94235,0.33054,0.23647,5.71486
primary27,ishihara,plate15_synthetic,M5b_turbo,protan,37.42738,-0.52696,-0.05391,0.26782,12.39301
primary27,ishihara,plate15_synthetic,M6_viridis,protan,24.05012,0.92718,0.33239,0.19904,10.88077
primary27,ishihara,plate15_synthetic,M6b_cividis,protan,11.50319,0.95505,0.63060,0.20651,11.65190
primary27,ishihara,plate15_synthetic,DE_Cividis,protan,15.58780,0.99142,0.41181,0.21370,18.91658
primary27,ishihara,plate15_synthetic,M1_intensity_slicing,deutan,40.83443,-0.44270,-0.05353,0.26303,2.92913
primary27,ishihara,plate15_synthetic,M2_sin_three_phase,deutan,30.89423,0.83977,-0.09371,0.25167,13.16751
primary27,ishihara,plate15_synthetic,M4_jet,deutan,37.07821,-0.42541,-0.07623,0.24906,10.43648
primary27,ishihara,plate15_synthetic,M5_hot,deutan,31.32563,0.94235,0.33054,0.23316,5.71486
primary27,ishihara,plate15_synthetic,M5b_turbo,deutan,37.42738,-0.52696,-0.05391,0.26662,12.39301
primary27,ishihara,plate15_synthetic,M6_viridis,deutan,24.05012,0.92718,0.33239,0.20504,10.88077
primary27,ishihara,plate15_synthetic,M6b_cividis,deutan,11.50319,0.95505,0.63060,0.20690,11.65190
primary27,ishihara,plate15_synthetic,DE_Cividis,deutan,15.58780,0.99142,0.41181,0.21459,18.91658
primary27,ishihara,plate74_synthetic,M1_intensity_slicing,protan,40.83651,-0.46632,-0.06052,0.25230,2.92508
primary27,ishihara,plate74_synthetic,M2_sin_three_phase,protan,31.02034,0.84596,-0.11192,0.27347,13.27806
primary27,ishihara,plate74_synthetic,M4_jet,protan,37.11058,-0.46156,-0.08617,0.26098,10.47856
primary27,ishihara,plate74_synthetic,M5_hot,protan,31.29737,0.94242,0.32715,0.24255,5.73589
primary27,ishihara,plate74_synthetic,M5b_turbo,protan,37.47324,-0.56054,-0.05846,0.27471,12.49970
primary27,ishihara,plate74_synthetic,M6_viridis,protan,24.02233,0.92863,0.32569,0.20362,10.96073
primary27,ishihara,plate74_synthetic,M6b_cividis,protan,11.30100,0.95478,0.62414,0.21128,11.71187
primary27,ishihara,plate74_synthetic,DE_Cividis,protan,15.38143,0.99150,0.40632,0.21791,18.82912
primary27,ishihara,plate74_synthetic,M1_intensity_slicing,deutan,40.83651,-0.46632,-0.06052,0.26766,2.92508
primary27,ishihara,plate74_synthetic,M2_sin_three_phase,deutan,31.02034,0.84596,-0.11192,0.25652,13.27806
primary27,ishihara,plate74_synthetic,M4_jet,deutan,37.11058,-0.46156,-0.08617,0.25495,10.47856
primary27,ishihara,plate74_synthetic,M5_hot,deutan,31.29737,0.94242,0.32715,0.24118,5.73589
primary27,ishihara,plate74_synthetic,M5b_turbo,deutan,37.47324,-0.56054,-0.05846,0.27391,12.49970
primary27,ishihara,plate74_synthetic,M6_viridis,deutan,24.02233,0.92863,0.32569,0.20982,10.96073
primary27,ishihara,plate74_synthetic,M6b_cividis,deutan,11.30100,0.95478,0.62414,0.21172,11.71187
primary27,ishihara,plate74_synthetic,DE_Cividis,deutan,15.38143,0.99150,0.40632,0.21828,18.82912
primary27,maps,citymap_01,M1_intensity_slicing,protan,55.70150,-0.01389,0.22167,0.09930,2.55647
primary27,maps,citymap_01,M2_sin_three_phase,protan,31.42410,0.90497,0.39964,0.08800,3.59127
primary27,maps,citymap_01,M4_jet,protan,48.82704,-0.01466,0.04409,0.11300,2.87669
primary27,maps,citymap_01,M5_hot,protan,21.39208,0.94255,0.72740,0.09771,2.19525
primary27,maps,citymap_01,M5b_turbo,protan,52.12088,-0.03039,0.05199,0.12029,3.59610
primary27,maps,citymap_01,M6_viridis,protan,28.30803,0.96884,0.57010,0.10383,3.60952
primary27,maps,citymap_01,M6b_cividis,protan,25.23629,0.97183,0.68852,0.11565,3.57363
primary27,maps,citymap_01,DE_Cividis,protan,25.15569,0.99844,0.66590,0.11858,8.31703
primary27,maps,citymap_01,M1_intensity_slicing,deutan,55.70150,-0.01389,0.22167,0.11721,2.55647
primary27,maps,citymap_01,M2_sin_three_phase,deutan,31.42410,0.90497,0.39964,0.07054,3.59127
primary27,maps,citymap_01,M4_jet,deutan,48.82704,-0.01466,0.04409,0.10767,2.87669
primary27,maps,citymap_01,M5_hot,deutan,21.39208,0.94255,0.72740,0.10119,2.19525
primary27,maps,citymap_01,M5b_turbo,deutan,52.12088,-0.03039,0.05199,0.12425,3.59610
primary27,maps,citymap_01,M6_viridis,deutan,28.30803,0.96884,0.57010,0.11399,3.60952
primary27,maps,citymap_01,M6b_cividis,deutan,25.23629,0.97183,0.68852,0.11556,3.57363
primary27,maps,citymap_01,DE_Cividis,deutan,25.15569,0.99844,0.66590,0.11661,8.31703
primary27,maps,citymap_02,M1_intensity_slicing,protan,54.75345,-0.01666,0.21058,0.08394,2.72326
primary27,maps,citymap_02,M2_sin_three_phase,protan,31.08463,0.91153,0.40882,0.07437,4.03594
primary27,maps,citymap_02,M4_jet,protan,47.92923,-0.02822,0.02004,0.09901,2.99847
primary27,maps,citymap_02,M5_hot,protan,21.89427,0.92819,0.68021,0.07731,2.29285
primary27,maps,citymap_02,M5b_turbo,protan,51.12435,-0.04845,0.02798,0.10367,4.03313
primary27,maps,citymap_02,M6_viridis,protan,28.32765,0.97028,0.55881,0.08403,4.03959
primary27,maps,citymap_02,M6b_cividis,protan,25.15976,0.97130,0.67834,0.09703,4.03818
primary27,maps,citymap_02,DE_Cividis,protan,24.90232,0.99747,0.64428,0.09992,9.51289
primary27,maps,citymap_02,M1_intensity_slicing,deutan,54.75345,-0.01666,0.21058,0.10505,2.72326
primary27,maps,citymap_02,M2_sin_three_phase,deutan,31.08463,0.91153,0.40882,0.05955,4.03594
primary27,maps,citymap_02,M4_jet,deutan,47.92923,-0.02822,0.02004,0.10222,2.99847
primary27,maps,citymap_02,M5_hot,deutan,21.89427,0.92819,0.68021,0.08114,2.29285
primary27,maps,citymap_02,M5b_turbo,deutan,51.12435,-0.04845,0.02798,0.11189,4.03313
primary27,maps,citymap_02,M6_viridis,deutan,28.32765,0.97028,0.55881,0.09522,4.03959
primary27,maps,citymap_02,M6b_cividis,deutan,25.15976,0.97130,0.67834,0.09694,4.03818
primary27,maps,citymap_02,DE_Cividis,deutan,24.90232,0.99747,0.64428,0.09768,9.51289
primary27,maps,citymap_03,M1_intensity_slicing,protan,54.65946,-0.07944,0.16375,0.10558,2.79593
primary27,maps,citymap_03,M2_sin_three_phase,protan,31.11523,0.90848,0.36581,0.09083,4.10793
